country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","24-09-2024 10:00:00",24.885261,72.857549,OZONE,2,56,23
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","24-09-2024 10:00:00",26.159933,75.780517,OZONE,10,77,23
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","24-09-2024 10:00:00",27.338530,88.614099,OZONE,13,51,20
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","24-09-2024 10:00:00",26.960669,75.771817,OZONE,14,147,37
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","24-09-2024 10:00:00",24.892047,74.623527,OZONE,1,77,5
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","24-09-2024 10:00:00",28.108988,75.386577,OZONE,14,100,36
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","24-09-2024 10:00:00",28.018792,73.292658,OZONE,13,89,42
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","24-09-2024 10:00:00",13.1036,80.2909,OZONE,9,25,10
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","24-09-2024 10:00:00",26.868120,81.005119,OZONE,41,49,43
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","24-09-2024 10:00:00",26.906111,80.948222,OZONE,6,47,11
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","24-09-2024 10:00:00",26.90723,80.98579,OZONE,46,75,54
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","24-09-2024 10:00:00",26.83399722,80.8917361,OZONE,1,37,5
India,TamilNadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB","24-09-2024 10:00:00",10.681158,78.741746,OZONE,NA,NA,NA
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB","24-09-2024 10:00:00",11.0328,77.0349,OZONE,2,5,4
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","24-09-2024 10:00:00",11.6829898,79.7532099,OZONE,4,4,4
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB","24-09-2024 10:00:00",12.909494,79.131861,CO,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","24-09-2024 10:00:00",28.757294,77.278792,OZONE,19,45,25
